,before,during,2,merc,hrg,robustness
A,8.301334620201589,6.838059874878512,8.058780430652309,0,Chromosome,-0.08421502106670542
B,8.427712511152167,6.910186719275134,7.733960243729189,0,Chromosome,-0.08621992984665452
C,8.382019022514642,6.927920738687287,8.123146830166585,0,Chromosome,-0.08274573176651141
D,8.426020766436874,7.010845911666078,7.974670186643515,0,Chromosome,-0.07985210308991852
E,8.439632991570063,7.103750223361532,7.99540199896666,0,Chromosome,-0.07483587846703289
F,8.350059579474918,6.862695097684196,7.898325828111398,0,Chromosome,-0.08519487020656115
A,8.35172818761496,7.487567337197399,8.225011511570829,0,HgS,-0.047435610381470227
B,8.374666967203236,7.396530948272062,8.15820407057709,0,HgS,-0.053939466849230934
C,8.36735289531769,7.44141608478721,8.145338323238775,0,HgS,-0.05093249718030951
D,8.368858274857747,7.508846253114377,7.9993088008990405,0,HgS,-0.04709300116926312
E,8.381956101236279,7.307604431523435,8.18701135337779,0,HgS,-0.0595703514861401
F,8.3807080196304,7.484412128589871,7.913697329298796,0,HgS,-0.04912301640124145
A,8.471540571167141,7.772259781431464,8.155633951071609,0,pQBR103,-0.0374150869586971
B,8.476585002096439,7.639071453638704,8.308811455080756,0,pQBR103,-0.0451803491140661
C,8.461695762239835,7.804515835288203,8.117554015706839,0,pQBR103,-0.03511144021478808
D,8.515120354622278,7.815487909644897,8.245402268744472,0,pQBR103,-0.03723469517763977
E,8.387999561741413,7.70474568446586,8.161589678835265,0,pQBR103,-0.03690009085057341
F,8.448918836932723,7.761230699862997,8.04600819820433,0,pQBR103,-0.036870545277976584
A,8.45544771260268,7.785985749248982,8.263657342971221,0,pQBR57,-0.03582300377288978
B,8.480459625478906,7.947806985824433,8.233861078735577,0,pQBR57,-0.028172079232792146
C,8.568953745436483,7.872930165144399,8.237593857831667,0,pQBR57,-0.036791399389732894
D,8.548481371178392,7.950514263949777,8.241305324161598,0,pQBR57,-0.03149374853682885
E,8.489545571169726,7.779024408878332,8.221221365953912,0,pQBR57,-0.037959309716522546
F,8.518353918499322,7.811005375675328,8.17587539079637,0,pQBR57,-0.03764874337912425
A,8.343919396114675,7.735790460642802,8.184337717057597,16,Chromosome,-0.03286540256993982
B,8.268575132698698,7.670043162500419,8.003199262834773,16,Chromosome,-0.03263286907624407
C,8.338715772886077,8.017737901457298,8.019156337649042,16,Chromosome,-0.01704731592721182
D,8.478911617522956,7.641241740332005,8.265451700464872,16,Chromosome,-0.04517616893474427
E,7.881873672579462,6.703844543590103,7.984262951150314,16,Chromosome,-0.07030553507039032
F,8.392725109256434,7.421852241605886,8.098082969486297,16,Chromosome,-0.05339069478043917
A,8.35305300317208,7.528598169340267,8.032397537952674,16,HgS,-0.04513111940350952
B,8.34916232134927,7.533770399269131,7.933697908193108,16,HgS,-0.0446305241084074
C,8.450039013942408,7.4798937556678,7.9910294145157375,16,HgS,-0.05296328490369501
D,8.342401696103991,7.459347964067061,8.240522044519121,16,HgS,-0.04859023116825699
E,8.268941042095163,7.604042319691777,8.126110020174613,16,HgS,-0.0364053701709171
F,8.410710665949226,7.572166874475267,8.292424838196082,16,HgS,-0.04561251688776833
A,8.480628597349769,8.200043145707145,8.23087927800601,16,pQBR103,-0.014611906537961933
B,8.533413589296266,8.06241394945495,8.147806867902723,16,pQBR103,-0.024657702689239537
C,8.56679928135697,8.165564631260391,8.267915579262885,16,pQBR103,-0.020832370932688197
D,8.435682253606739,8.031202996090366,7.968434053120073,16,pQBR103,-0.02133960958806468
E,8.426932973361978,7.7982373293439835,8.191519148686407,16,pQBR103,-0.03367309136960545
F,8.47952373858982,7.667677561700441,8.166756931774644,16,pQBR103,-0.043707618531839625
A,8.6255639189374,7.818011883432446,8.266891504412566,16,pQBR57,-0.042691171590628026
B,8.578582586505956,8.109827870616694,8.179123185424421,16,pQBR57,-0.02440390009998685
C,8.512314655843468,7.940221254307753,8.281918114452552,16,pQBR57,-0.030215064634151093
D,8.519276587853167,8.051200335667803,8.283974259369668,16,pQBR57,-0.024542085130240313
E,8.507771475959277,8.092409367886887,8.152153812089109,16,pQBR57,-0.021737971809312685
F,8.551785893831793,8.082088626734182,8.240325530522723,16,pQBR57,-0.02453321062635822
