,before,during,2,merc,hrg,robustness
A,8.300725157305449,7.894836595836724,8.308578510786711,0,Chromosome,-0.02177288872672465
B,8.338975068315946,8.031842791109426,8.229950147596885,0,Chromosome,-0.01629747604452629
C,8.285554836635074,7.916995129435561,8.299323493972334,0,Chromosome,-0.01976121820825679
D,8.344984124602133,7.883056561411387,8.383214797832357,0,Chromosome,-0.02473087215598387
E,8.25239127477343,7.7036963947968955,8.167474314335985,0,Chromosome,-0.029880652446061962
F,8.220362237446551,7.815862738836944,8.28074403194366,0,Chromosome,-0.021914031773052768
A,8.455203206549216,4.84299587188238,5.061257260898078,0,HgS,-0.24200995073586454
B,8.367438681253097,4.908380967384435,4.72031314327905,0,HgS,-0.2316542749897647
C,8.469824405760011,5.224689656112807,5.405417907016463,0,HgS,-0.209813908061939
D,8.41529492073157,5.102042880128838,5.201473299571303,0,HgS,-0.21732523645764126
E,8.40999026288819,4.977416207118241,5.256512946980976,0,HgS,-0.22779153538983932
F,8.364973478017214,4.964321099260691,4.342383254793026,0,HgS,-0.22660470381439402
A,8.338118363379825,7.596283670643102,8.161073997493967,0,pQBR103,-0.0404668814650463
B,8.301833135113108,7.746144876488506,8.318864806460253,0,pQBR103,-0.030088384558797993
C,8.40220726638442,7.831200983057045,8.052750457856027,0,pQBR103,-0.030565020531587772
D,8.310838925630685,7.762996150644164,8.245623038827157,0,pQBR103,-0.029615494411658397
E,8.386779233683571,7.739973093621662,8.172970434172562,0,pQBR103,-0.034855760223263754
F,8.266848733198094,8.033407898342654,8.116689842551521,0,pQBR103,-0.012440172043088385
A,8.381303043970162,8.019577982953999,8.39180108581972,0,pQBR57,-0.019160028931298714
B,8.349636957418198,7.9209145805108125,8.148167791699288,0,pQBR57,-0.022892262886557765
C,8.286363842171868,7.914956861647288,8.130912624883386,0,pQBR57,-0.019915446420274922
D,8.377352056560225,7.825982902829039,8.163450056534163,0,pQBR57,-0.029567872188825558
E,8.316585986272804,7.6815048403992625,8.150983278416362,0,pQBR57,-0.034498773551983386
F,8.29693176160232,7.67999104289784,7.934874709055155,0,pQBR57,-0.03355680471808514
A,8.328869698016435,7.887205033096282,8.068647976252016,16,Chromosome,-0.02366293702251553
B,8.318900243175092,7.997032622141261,8.143828332195161,16,Chromosome,-0.017137048818223588
C,8.387158044174463,7.994973897671581,8.084541831090382,16,Chromosome,-0.02079777658048152
D,8.306983800047664,7.79571292702257,8.157551188870022,16,Chromosome,-0.0275875254450877
E,8.553657648311447,7.681872571371257,8.273137267775367,16,Chromosome,-0.046684765347043064
F,8.409906061178257,7.705388772017446,8.16035428395092,16,Chromosome,-0.037996589001598115
A,5.739228410076412,4.394124752910267,5.406365867331666,16,HgS,-0.11598112641628355
B,5.747629603373238,4.303856202916983,5.199698621654721,16,HgS,-0.12563102037094342
C,5.134774182999738,3.8959636986478507,4.647062071027247,16,HgS,-0.11990644735148256
D,4.026531019029224,3.470177086242411,4.037380325407136,16,HgS,-0.06457941130624545
E,5.388764421774316,4.230537972816912,5.486549448015481,16,HgS,-0.1050936005709433
F,6.404742376238133,5.819964602993789,6.284164344438779,16,HgS,-0.041581322130907095
A,8.070286928656861,7.689667062870898,7.943650091784879,16,pQBR103,-0.02098143908243786
B,8.108842312806187,7.560313303327778,7.854049404571565,16,pQBR103,-0.030419061804237955
C,7.920086227255983,7.285453988166116,7.917415512541497,16,pQBR103,-0.036273290131454486
D,8.137676265935406,7.333885894056355,7.707659324190279,16,pQBR103,-0.045166260096040384
E,8.102915791918113,7.047552509685081,7.608265145168217,16,pQBR103,-0.06060300522046055
F,8.034772091443589,7.066767593116833,7.876157559992187,16,pQBR103,-0.05575275361163419
A,7.830945067900718,6.880656899823602,7.65436264985764,16,pQBR57,-0.056184274981642114
B,8.201532064946896,7.254204202044365,7.567604403320543,16,pQBR57,-0.05330521058608158
C,7.895848257644913,7.061539964720764,7.884288280298424,16,pQBR57,-0.04849937213133783
D,7.727703806202123,7.145467410487572,7.729992279305985,16,pQBR57,-0.034019824923806063
E,7.903429514073702,7.041460947181449,7.602537244680284,16,pQBR57,-0.050152809458374775
F,7.962485603245739,7.49112758431197,7.733113845220352,16,pQBR57,-0.026501466335548833
